"","id","amount_tsh","installer","longitude","latitude","basin","region","ward","population","public_meeting","scheme_management","permit","construction_year","extraction_type","management","payment_type","water_quality","quantity","source","waterpoint_type","status_group","year_recorded"
"36",152,0,434,38.35306994,-4.8992326,6,21,2066,1,2,9,2,1972,4,8,3,7,2,9,2,3,"2011"
"37",153,0,1106,35.0026992,-10.94757651,2,17,1156,20,1,11,2,2002,4,10,3,7,1,9,2,3,"2013"
"38",162,0,434,31.94255806,-8.63830023,3,16,840,200,2,9,1,1985,5,8,3,7,2,4,5,3,"2011"
"39",174,0,1598,36.89916569,-7.79663177,7,12,1274,510,2,12,2,1973,4,8,3,7,3,7,2,3,"2011"
"40",180,0,1598,37.30344453,-3.21845474,6,7,619,1,1,9,2,1976,4,8,3,7,3,9,7,3,"2013"
"41",181,0,1338,31.6006426,-7.96717705,4,16,1030,860,1,4,2,1983,10,2,3,7,1,4,7,3,"2013"
"42",196,0,1557,35.77314566,-8.10053267,7,4,2002,600,2,9,2,2009,4,8,3,7,2,7,2,3,"2011"
"43",198,0,1398,34.68915044,-5.0255907,1,19,340,1,2,9,2,1980,10,8,7,8,1,8,7,3,"2013"
"44",203,50,82,39.77753696,-10.47294256,8,13,1316,500,2,9,2,2011,8,8,6,7,2,4,3,3,"2013"
"45",214,0,505,38.87525255,-9.93463257,8,8,205,320,2,9,1,1980,9,8,3,5,3,8,5,3,"2013"
"46",215,0,434,35.85015357,-8.66561686,7,12,187,800,2,3,2,2006,10,8,3,7,3,8,7,3,"2011"
"47",222,300,1824,34.71100635,-4.50827536,1,19,328,325,2,9,2,2004,1,8,4,7,2,4,5,3,"2013"
"48",233,0,501,39.58360577,-9.91088994,8,8,173,400,2,3,2,1982,10,8,7,4,3,8,5,3,"2013"
"49",242,0,434,36.27823848,-11.21017206,8,17,931,250,2,9,2,1974,4,8,4,7,1,7,2,3,"2013"
"50",253,250,1404,29.80846858,-4.53637188,4,6,1261,520,2,10,2,2001,4,10,2,7,2,7,3,3,"2013"
"51",257,10,387,37.1405528,-6.77922884,9,12,685,250,2,9,2,1997,15,12,6,7,3,4,2,3,"2011"
"52",264,0,1311,35.28308756,-3.33493375,1,1,234,210,2,9,2,2003,4,8,3,7,3,9,2,3,"2013"
"53",265,0,509,39.56907424,-10.90211187,8,13,1321,1,2,11,2,1982,15,8,3,7,1,4,3,3,"2013"
"54",275,0,434,30.55998701,-7.04626131,4,16,478,1,1,9,1,2007,16,8,3,7,2,4,5,3,"2011"
"55",279,0,434,38.22771906,-4.5420819,6,21,1939,1,2,9,2,1985,9,8,3,7,2,8,5,3,"2011"
"56",284,50,511,39.25600897,-10.64352194,8,13,1072,370,2,9,1,1988,15,8,6,7,2,4,2,3,"2013"
"57",288,1500,434,37.57457472,-7.44067177,9,12,742,260,2,9,2,1982,16,8,4,7,2,8,5,3,"2011"
"58",299,0,683,34.96044805,-5.85076371,1,19,671,450,2,9,1,1974,8,8,7,7,2,4,3,3,"2013"
"59",306,0,320,37.69410599,-7.42389666,9,12,130,420,2,9,2,1997,10,8,4,8,1,8,7,3,"2011"
"60",307,0,434,34.48471345,-9.71273679,2,4,923,30,2,9,1,1992,4,8,4,7,1,9,2,3,"2011"
"61",310,50,903,38.8988076,-10.49086971,8,8,891,250,2,9,2,2006,6,8,6,5,2,4,5,3,"2013"
"62",316,0,434,33.04802365,-2.09790084,5,14,65,500,2,3,2,2009,5,8,3,7,3,8,5,3,"2011"
"63",318,0,83,39.24990983,-7.00713546,9,15,1949,1000,2,9,1,2009,9,8,3,7,2,8,5,3,"2011"
"64",327,0,50,33.44058048,-2.10657917,5,10,603,1800,1,13,1,1997,10,12,3,7,2,8,5,3,"2013"
"65",332,50,81,34.69850906,-5.75746728,7,19,1,200,2,9,1,2008,8,8,6,5,2,4,3,3,"2013"
"66",333,100,1069,34.64395699,-1.39031191,5,10,1434,500,1,3,1,1998,1,5,6,7,2,8,5,3,"2012"
"67",334,0,1294,36.8547702,-7.97360145,7,12,609,410,2,3,2,1983,1,2,3,7,3,4,5,3,"2011"
"68",335,0,2018,38.9783974,-5.42295094,6,21,1772,2,1,6,1,1960,10,5,3,5,3,8,7,3,"2011"
"69",336,0,82,39.73376164,-10.6589599,8,13,1639,341,2,9,2,2012,15,8,7,5,2,4,3,3,"2013"
"70",338,0,1168,36.46378568,-11.56857679,8,17,976,450,2,3,2,2011,10,7,7,7,5,4,7,3,"2013"
"71",343,0,1598,36.97960608,-3.34620056,6,1,652,120,2,9,2,1964,4,8,7,7,3,7,2,3,"2013"
"72",345,0,1398,34.78488687,-5.19972305,1,19,358,1,2,9,1,1980,8,8,7,8,1,4,2,3,"2013"
"73",348,6,434,37.50710382,-3.36113393,6,7,812,1,1,11,2,2008,4,10,6,7,2,9,2,3,"2013"
"74",350,0,502,38.70188638,-10.24724865,8,8,1828,210,2,9,1,1988,10,8,3,5,3,4,7,3,"2013"
"75",353,0,1398,34.72721122,-4.5679844,1,19,1994,1,2,9,1,2010,8,8,7,8,1,4,2,3,"2013"
"76",366,200,434,38.64492714,-4.79337163,6,21,1099,800,2,9,1,2008,1,8,2,5,2,8,5,3,"2011"
"77",371,20,937,37.07260791,-3.18867979,6,7,1897,1,2,11,2,2002,4,10,2,7,2,9,2,3,"2013"
"78",373,0,1347,36.85094835,-3.4934532,6,1,1595,200,2,5,2,2012,10,4,7,7,4,6,7,3,"2013"
"79",392,0,401,37.60505491,-3.03305849,1,7,1567,1,2,10,2,2012,10,9,5,7,2,4,7,3,"2013"
"80",395,0,1991,39.06835156,-4.73600778,6,21,225,1,2,9,2,1999,9,8,3,5,1,8,5,3,"2011"
"81",400,0,401,37.6197076,-3.24416944,6,7,589,1,2,1,2,1980,4,1,2,7,3,9,2,3,"2013"
"82",401,500,228,37.59524112,-3.74789663,6,7,854,20,2,11,2,1972,4,10,2,7,3,9,7,3,"2013"
"83",404,50,768,38.65511528,-10.66562905,8,13,1537,1,2,9,1,2009,5,8,6,5,2,4,5,3,"2013"
"84",406,0,1125,35.32659188,-4.14811894,1,9,223,184,2,9,2,1992,10,8,3,7,1,8,7,3,"2013"
"85",410,0,434,36.00205855,-9.08814375,7,12,680,1,2,3,2,1996,16,8,3,7,3,8,5,3,"2011"
"86",414,0,83,39.01869682,-7.34673319,9,15,1257,100,2,9,1,2009,5,8,3,8,1,8,5,3,"2011"
"87",417,0,1808,35.9819986,-7.9166857,7,4,2006,400,2,9,2,2006,16,8,3,7,2,2,5,3,"2011"
"88",423,0,434,38.74249524,-5.1050287,6,21,987,200,2,9,1,1983,5,8,3,8,5,8,5,3,"2011"
"89",425,0,434,30.57407985,-6.97654279,4,16,478,1,1,9,1,1994,9,8,3,7,3,8,5,3,"2011"
"90",433,0,508,38.06130338,-9.40936413,8,8,1281,250,2,9,2,1987,9,8,3,7,1,8,5,3,"2013"
"91",437,0,505,38.96719978,-9.99098527,8,8,1152,1230,2,9,1,1980,10,8,3,7,1,8,7,3,"2013"
"92",438,0,434,37.61871777,-6.13761324,9,12,220,80,2,9,2,1996,16,8,3,7,3,8,5,3,"2011"
"93",441,0,60,37.17974182,-6.32609667,9,12,989,963,2,9,2,1995,10,8,3,7,3,8,7,3,"2011"
"94",445,0,434,36.0104705,-9.0861632,7,12,680,1,2,9,2,1972,4,8,3,7,1,7,2,3,"2011"
"95",450,0,434,35.80437135,-10.70961904,8,17,1119,0,2,9,2,1983,4,8,3,7,1,7,2,3,"2013"
"96",455,0,402,38.77318782,-7.27104988,9,15,1360,600,2,9,1,1995,10,8,3,7,3,4,5,3,"2011"
"97",461,50,1398,34.90179053,-4.54190471,1,19,1022,1,2,9,2,2000,15,8,6,7,3,4,2,3,"2013"
"98",477,0,1824,30.59562955,-5.80101901,4,16,1244,400,2,10,2,1983,5,9,3,7,2,4,5,3,"2013"
"99",509,0,1398,35.01212766,-5.0165718,1,19,1912,1,2,9,2,1970,8,8,7,8,1,4,2,3,"2013"
"100",515,0,389,35.79167156,-8.80184245,7,12,1298,300,2,9,2,2002,4,8,3,7,3,7,2,3,"2011"
"101",520,0,434,37.40264282,-3.33523729,6,7,693,1,1,9,2,1974,4,8,7,7,3,9,7,3,"2013"
"102",527,0,434,32.96776983,-2.0333375,5,14,1595,250,2,3,2,1989,10,8,3,7,3,8,7,3,"2011"
"103",530,0,1824,37.94220989,-4.46673674,6,7,725,95,2,10,2,2005,4,8,3,7,2,9,2,3,"2013"
"104",532,0,402,37.53207357,-3.53417372,6,7,668,360,2,4,1,1990,13,2,3,7,2,8,5,3,"2013"
"105",538,0,1398,34.96373556,-5.10961837,1,19,1671,1,2,9,2,1980,10,8,7,8,1,8,7,3,"2013"
"106",540,0,2047,34.64948645,-4.86938523,1,19,1493,1,2,13,2,2003,1,12,5,7,1,4,5,3,"2013"
"107",544,0,2141,34.60597465,-1.35176449,5,10,1720,1200,2,3,2,2005,5,8,7,7,2,8,5,3,"2012"
"108",546,0,508,37.91123656,-9.93509738,8,8,1062,250,1,9,2,1982,10,8,5,7,1,8,7,3,"2013"
"109",549,0,669,33.90353632,-1.78254919,5,10,808,250,1,9,2,1990,10,8,7,7,2,8,7,3,"2012"
"110",562,0,434,33.4295494,-2.14664032,5,10,603,600,1,13,1,1997,10,12,3,7,1,8,7,3,"2013"
"111",565,0,1818,30.65142047,-3.80634864,4,6,107,170,2,9,1,2003,4,8,7,7,3,9,2,3,"2013"
"112",572,0,683,34.48948635,-5.70545429,7,19,437,450,2,9,1,1973,8,8,3,7,3,4,3,3,"2013"
"113",573,0,1480,38.45301065,-11.15143356,8,13,1572,99,2,9,2,2009,9,8,3,1,1,8,5,3,"2013"
"114",576,500,434,36.66106992,-8.14134724,7,12,915,200,2,3,2,1997,15,8,2,7,3,4,2,3,"2011"
"115",578,0,628,36.88801939,-3.36317425,6,1,1005,89,2,9,2,2006,7,8,7,7,3,7,2,3,"2013"
"116",581,0,509,39.57383082,-10.70445588,8,13,1227,450,2,11,2,1982,15,8,3,7,4,4,3,3,"2013"
"117",587,0,501,39.82821031,-10.30772083,8,13,774,300,2,3,2,1985,10,8,7,7,2,4,7,3,"2013"
"118",590,250,1404,30.21765849,-4.62667727,4,6,1439,2100,2,10,2,1998,4,10,2,7,2,7,3,3,"2013"
"119",594,0,434,36.60922096,-3.27592206,6,1,1763,200,2,9,2,1970,10,8,3,7,2,4,7,3,"2013"
"120",596,0,918,37.61454128,-6.13529733,9,12,220,30,2,9,2,2009,10,8,3,7,4,8,7,3,"2011"
"121",599,0,363,38.99083308,-6.79043185,9,15,1974,638,2,10,2,2007,15,6,3,7,3,7,2,3,"2011"
"122",600,2000,434,31.11382547,-7.36556388,3,16,1391,1,2,9,1,1984,5,8,1,8,5,4,5,3,"2011"
"123",601,100,434,36.83172064,-8.93663442,7,12,1501,1,2,3,2,2004,16,8,2,7,3,8,5,3,"2011"
"124",609,0,1598,36.78052534,-3.37091619,6,1,2,69,2,9,2,1965,4,8,7,7,3,9,3,3,"2013"
"125",614,0,434,37.39897995,-6.93197592,9,12,1187,130,2,9,2,2006,16,8,3,5,3,8,5,3,"2011"
"126",622,0,434,35.86317599,-10.55678485,7,17,897,75,2,9,2,1978,4,8,3,7,3,7,2,3,"2013"
"127",623,0,1613,39.95981636,-10.16058464,8,8,1932,345,1,9,1,2010,5,8,3,5,3,4,5,3,"2013"
"128",630,0,407,38.76470139,-10.26821043,8,8,1074,200,2,9,1,2005,10,8,3,7,1,8,7,3,"2013"
"129",633,0,349,36.1329993,-10.44303834,7,17,1840,500,1,12,2,1982,4,4,3,7,2,7,2,3,"2013"
"130",642,0,1533,38.81904106,-10.49020382,8,8,1528,590,2,9,1,1979,10,8,3,8,1,4,2,3,"2013"
"131",649,0,526,38.94686712,-10.69017617,8,13,1344,1,2,9,2,1985,10,8,3,7,1,8,7,3,"2013"
"132",650,0,647,34.40045733,-1.79738177,5,10,1700,200,2,13,2,1998,9,12,3,7,2,8,5,3,"2013"
"133",656,300,557,37.04752476,-7.55939113,7,12,1815,100,2,9,2,1982,16,8,2,7,2,8,5,3,"2011"
"134",657,0,123,36.1897389,-8.93753711,7,12,1037,400,1,3,2,2008,10,2,3,7,1,8,5,3,"2011"
"135",658,0,2096,34.98503925,-6.00426075,1,19,1006,250,2,9,1,1978,8,8,3,7,2,4,3,3,"2013"
"136",659,300,434,38.74718204,-7.88289399,7,15,1268,1,2,9,2,1974,8,8,5,7,3,4,2,3,"2011"
"137",672,0,1818,30.59075007,-3.83064435,4,6,1812,130,2,9,1,2004,4,8,7,7,2,9,2,3,"2013"
"138",675,0,434,37.67742559,-7.36337813,9,12,1313,50,2,9,2,2006,9,8,4,8,4,8,5,3,"2011"
"139",691,0,1566,35.09555212,-9.19616226,7,4,628,45,2,9,2,1994,4,8,3,7,1,7,2,3,"2011"
"140",705,0,1884,37.5627223,-5.43085359,6,21,828,1,2,9,2,1977,4,8,3,7,3,9,2,3,"2011"
"141",711,0,1398,34.97084936,-4.84223317,1,19,1199,1,2,9,2,1990,10,8,7,8,5,8,7,3,"2013"
"142",713,0,434,35.15509555,-8.25448781,7,4,321,0,2,9,2,2000,16,8,3,7,2,2,5,3,"2011"
"143",715,0,434,30.48914939,-3.76528944,4,6,810,210,2,9,1,2010,4,8,7,7,1,9,6,3,"2013"
"144",721,0,434,33.03587642,-2.08874983,5,14,65,450,2,3,2,2011,10,8,3,7,3,4,7,3,"2011"
"145",724,0,1598,35.81867991,-8.93152541,7,12,2041,400,2,3,2,1985,16,8,3,8,5,8,5,3,"2011"
"146",732,0,859,37.59914586,-3.23815282,6,7,589,1,2,1,2,2006,4,1,2,7,3,9,7,3,"2013"
"147",736,0,1398,34.72888329,-4.56770367,1,19,1994,1,2,9,1,2010,8,8,7,8,1,4,2,3,"2013"
"148",741,0,571,39.12487921,-5.00361545,6,21,201,90,2,9,2,2001,10,8,3,7,4,8,7,3,"2011"
"149",750,0,434,32.96273353,-2.08047212,5,14,314,250,2,3,2,2011,10,8,3,7,3,8,7,3,"2011"
"150",753,1000,349,37.36185149,-11.38449679,8,17,1177,1,2,9,1,1985,16,8,1,7,2,4,5,3,"2013"
"151",756,20,937,37.08311522,-3.18073152,6,7,1897,1,2,11,2,2002,4,10,2,7,2,9,2,3,"2013"
"152",759,0,1398,34.68626971,-5.11183803,1,19,340,1,2,9,2,2010,8,8,7,8,5,4,2,3,"2013"
"153",760,50,434,33.45664079,-2.15025509,5,10,603,600,1,9,2,1978,4,8,6,7,2,3,3,3,"2013"
"154",763,300,434,35.87755108,-10.5531015,7,17,897,250,2,13,1,2012,16,12,2,7,1,8,5,3,"2013"
"155",766,0,1398,34.96318706,-4.67799394,1,19,1191,1,2,9,2,1980,8,8,7,8,1,4,2,3,"2013"
"156",780,50,1398,34.90484182,-4.5361669,1,19,1022,684,2,9,2,2000,15,8,6,7,3,4,2,3,"2013"
"157",781,0,564,35.90545619,-8.10448439,7,4,207,200,2,9,2,1975,4,8,3,7,2,9,2,3,"2011"
"158",782,0,434,32.08379067,-8.48339295,3,16,507,400,2,9,1,2003,16,8,3,7,2,4,5,3,"2011"
"159",785,0,1398,34.74773722,-5.1143096,1,19,358,1,2,9,2,1990,10,8,7,7,3,8,7,3,"2013"
"160",786,0,434,34.07608916,-1.95398169,5,10,288,300,2,13,1,1992,10,12,7,7,3,8,7,3,"2012"
"161",791,200,387,37.12309312,-6.74872157,9,12,156,250,2,9,2,1985,16,8,2,7,4,8,5,3,"2011"
"162",794,0,509,39.72880777,-10.84456068,8,13,1271,1,2,11,2,1982,15,8,3,7,1,4,3,3,"2013"
"163",798,0,647,34.66968063,-1.80014258,5,10,1416,360,1,13,2,1995,9,12,3,7,2,8,5,3,"2012"
"164",801,0,1453,34.52037009,-1.46625639,5,10,1124,2000,2,3,2,2006,10,8,7,7,2,7,3,3,"2012"
"165",803,0,2,39.52539559,-6.98505565,9,2,691,150,2,9,1,1970,8,3,3,5,1,4,7,3,"2013"
"166",804,0,1598,38.23478858,-6.93312943,9,12,1611,700,2,9,2,1979,10,8,3,5,5,8,7,3,"2011"
"167",814,0,941,37.19935329,-5.58048387,9,9,855,560,2,9,1,1970,4,8,3,7,2,9,2,3,"2013"
"168",827,0,434,35.9544826,-3.70198016,1,9,1645,145,2,9,2,1997,10,8,3,7,2,8,7,3,"2013"
"169",828,0,434,37.51924178,-5.39173367,9,21,745,1,2,9,1,2000,5,8,3,7,5,8,5,3,"2011"
"170",837,0,434,35.28374093,-9.8284695,2,17,2078,0,2,9,2,1994,4,8,4,7,1,7,2,3,"2013"
"171",839,20,434,36.27842383,-11.20941009,8,17,931,1000,2,13,1,2003,16,12,6,7,3,8,5,3,"2013"
"172",857,0,1398,34.99026311,-4.58719152,1,19,348,1,2,9,2,1960,8,8,7,8,1,4,2,3,"2013"
"173",859,0,434,37.27906154,-5.93626105,9,21,658,1,2,9,1,1997,16,8,3,5,3,8,5,3,"2011"
"174",867,0,434,35.26680089,-9.83257366,2,17,2078,0,2,9,2,1994,4,8,4,7,1,7,3,3,"2013"
"175",871,0,1831,30.74440417,-3.41629713,4,6,271,500,2,9,1,2006,5,8,7,7,2,4,5,3,"2013"
"176",900,0,220,39.01017777,-7.61633004,7,15,96,1,2,9,2,1976,4,8,3,7,2,9,2,3,"2011"
"177",903,0,434,29.78721281,-4.82355118,4,6,995,3000,2,13,2,2011,10,8,7,7,2,4,7,3,"2013"
"178",906,0,683,35.21025807,-6.35942083,1,19,1860,320,2,9,1,1972,8,8,3,7,2,4,3,3,"2013"
"179",916,0,1824,30.518714,-5.59285822,4,16,1244,60,2,10,2,1985,10,9,3,7,2,4,5,3,"2013"
"180",921,0,434,30.58559293,-7.2866901,4,16,478,1,1,9,1,1994,10,8,3,7,3,8,7,3,"2011"
"181",922,0,434,38.98275451,-5.00351369,6,21,1521,1,2,9,2,2005,1,8,3,7,2,8,5,3,"2011"
"182",924,0,1599,36.90481061,-3.4214163,6,1,1079,156,2,11,2,1968,4,10,7,7,3,9,2,3,"2013"
"183",926,0,647,34.46439322,-1.36995202,5,10,30,150,2,3,2,1998,1,8,7,7,2,8,5,3,"2012"
"184",935,0,505,38.94796904,-9.98744298,8,8,1152,350,2,9,1,1980,9,8,3,5,2,8,5,3,"2013"
"185",939,50,434,38.65785185,-6.8062863,9,15,1835,60,2,9,2,1970,9,8,6,7,2,8,5,3,"2011"
"186",943,0,509,39.86208295,-10.83631008,8,13,1211,300,2,11,2,1982,15,8,3,7,1,4,3,3,"2013"
"187",944,0,1533,38.84578536,-10.20302207,8,8,182,230,2,9,1,1978,10,8,3,5,3,4,2,3,"2013"
"188",954,50,746,40.08133134,-10.36721301,8,13,1133,300,2,3,2,2006,5,8,6,7,2,4,5,3,"2013"
"189",956,0,505,38.9879474,-10.27859762,8,8,1305,430,2,9,2,1980,10,8,3,5,1,8,7,3,"2013"
"190",960,0,232,34.35910516,-4.62967988,1,19,1183,268,2,5,2,2008,4,4,3,7,1,6,7,3,"2013"
"191",972,20,683,34.84258435,-5.73995098,1,19,1066,100,1,9,1,2002,15,8,6,7,2,4,3,3,"2013"
"192",980,1000,434,35.32524751,-10.41286716,2,17,660,400,2,9,2,2003,5,8,2,7,1,8,5,3,"2013"
"193",981,500,434,30.2960614,-4.66764483,4,6,1826,520,2,10,1,1996,9,10,4,7,2,8,5,3,"2013"
"194",999,0,291,36.88182624,-3.15054341,1,1,1606,320,2,9,2,2008,4,11,7,7,3,9,2,3,"2013"
"195",1002,0,434,32.04071672,-8.84924282,3,16,850,300,2,9,1,1984,10,8,3,7,2,4,5,3,"2011"
"196",1012,0,501,39.76790839,-10.37243798,8,13,774,800,2,3,2,1986,10,8,7,7,2,8,7,3,"2013"
"197",1014,0,505,38.98418861,-10.00466021,8,8,1152,600,2,9,1,1986,10,8,3,5,2,8,7,3,"2013"
"198",1022,0,434,38.56419312,-9.77742402,8,8,1238,250,2,9,2,2000,10,8,7,5,1,8,7,3,"2013"
"199",1029,0,434,30.96403337,-5.05217514,4,6,1389,1240,2,9,2,2005,9,8,7,7,2,8,5,3,"2013"
"200",1030,0,434,31.1714637,-6.33743009,3,16,1388,125,1,10,2,1988,10,9,3,7,3,2,7,3,"2011"
"201",1034,0,975,38.31073299,-4.96946167,6,21,160,1000,2,9,1,1982,1,8,3,7,1,8,5,3,"2011"
"202",1038,500,434,36.6522043,-3.24848944,6,1,1759,150,2,9,2,1990,4,8,4,7,3,9,2,3,"2013"
"203",1040,0,557,36.96642649,-6.06058498,9,12,145,80,2,9,2,1974,4,8,3,7,2,9,2,3,"2011"
"204",1043,0,434,35.79161324,-10.71382748,8,17,1119,0,2,9,2,1983,4,8,3,7,1,7,2,3,"2013"
"205",1045,0,2057,36.72290109,-5.92875028,9,9,222,1,2,9,2,2004,4,8,3,7,3,6,2,3,"2013"
"206",1050,1000,1959,34.7824898,-9.49125094,7,4,2049,45,2,9,1,1996,15,8,2,7,2,9,2,3,"2011"
"207",1054,50,1233,34.07534221,-1.18531136,5,10,1266,600,2,6,1,1992,15,8,6,7,2,3,3,3,"2012"
"208",1060,0,402,37.79993135,-10.9009227,8,17,1531,1,2,3,1,2012,10,7,7,8,5,4,7,3,"2013"
"209",1063,25,434,31.04926122,-7.5055424,3,16,1540,150,2,9,1,1987,9,8,6,5,3,8,5,3,"2011"
"210",1064,0,434,36.33408315,-10.58705878,8,17,892,300,2,13,1,2007,14,12,3,7,1,8,5,3,"2013"
"211",1066,1000,396,30.48992554,-6.81213951,4,16,542,400,2,9,2,1997,5,8,2,5,2,4,5,3,"2013"
"212",1069,0,402,38.83266282,-7.19616179,9,15,1083,164,2,6,1,2001,12,5,3,7,5,4,5,3,"2011"
"213",1071,0,1533,38.50491253,-10.16551001,8,8,868,247,2,9,1,1979,10,8,3,8,1,2,3,3,"2013"
"214",1075,0,349,37.82734623,-10.59900936,8,17,1423,1,1,9,1,1998,10,8,3,7,2,4,5,3,"2013"
"215",1085,50,434,39.43540623,-9.37623727,8,8,1054,230,2,9,1,2006,15,8,6,7,3,4,3,3,"2013"
"216",1101,0,1598,30.90383203,-2.95745606,4,6,1717,200,2,9,1,1988,4,8,7,7,2,9,3,3,"2013"
"217",1104,0,1311,35.28731541,-3.33174505,1,1,234,320,2,9,2,2003,4,8,3,7,3,9,2,3,"2013"
"218",1114,0,1158,35.08695388,-9.53112864,2,4,635,38,2,9,1,1998,4,8,3,7,3,9,2,3,"2011"
"219",1119,0,1557,34.63434022,-9.97375298,2,4,886,12,1,9,1,1974,4,7,7,8,5,9,2,3,"2011"
"220",1124,500,714,36.91280408,-6.89769577,9,12,1096,100,2,9,2,1981,16,8,2,7,3,8,5,3,"2011"
"221",1125,0,1598,38.07483408,-4.63931325,6,21,1267,250,2,9,1,1975,7,8,3,7,2,7,2,3,"2011"
"222",1126,0,228,37.61102144,-3.76134753,6,7,854,40,2,11,2,1972,4,10,3,7,3,9,7,3,"2013"
"223",1134,0,434,38.34809472,-4.576487,6,21,1290,1,2,9,2,1963,4,8,3,7,2,9,2,3,"2011"
"224",1138,0,1598,36.85335621,-7.95549267,7,12,609,400,2,3,2,1984,10,8,3,7,3,8,5,3,"2011"
"225",1147,0,434,36.61966652,-3.2555008,6,1,1759,150,2,9,2,1980,4,8,3,7,3,9,2,3,"2013"
